"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",2038.52763193584
"2","member","Sunday",878.161432027046
"3","casual","Monday",1783.28045772944
"4","member","Monday",754.049351485117
"5","casual","Tuesday",1527.19493444359
"6","member","Tuesday",728.778570705247
"7","casual","Wednesday",1500.07557588641
"8","member","Wednesday",730.381698260868
"9","casual","Thursday",1571.7821826027
"10","member","Thursday",744.384725767136
"11","casual","Friday",1644.38687769139
"12","member","Friday",756.351093692412
"13","casual","Saturday",1910.13291935826
"14","member","Saturday",868.449431735489
